id,date,user,pc,activity
{I5K5-M8HD47HI-6694GOIH},01/02/2010 07:13:39,NLR0174,PC-8272,Connect
{F7F1-T1QC34XE-2487PQDL},01/02/2010 07:42:43,JZA0447,PC-9753,Connect
{H6A7-G6LI73WO-1485RABK},01/02/2010 07:48:19,CTR0215,PC-2944,Connect
{M8G7-R4HQ13GC-1992PQQB},01/02/2010 07:50:00,CTR0215,PC-2944,Disconnect
{I2H7-J2VT44PH-7817GZEE},01/02/2010 07:51:43,JZA0447,PC-9753,Disconnect
{Q3H5-M9XC33XM-6087UGUM},01/02/2010 07:54:42,WHC0684,PC-3207,Connect
{K7D9-K2AB45DH-7284CPQN},01/02/2010 07:58:07,YXG0504,PC-4312,Connect
{F5D2-A6BO64UJ-8504OMNZ},01/02/2010 08:01:01,CTR0215,PC-2944,Connect
{R8K9-J9DU88FE-4152EPWG},01/02/2010 08:01:48,VLB0057,PC-7284,Connect
{D1U8-M4GY24FS-3241TGMI},01/02/2010 08:05:35,CZB0191,PC-7236,Connect
{Z8L2-U4FZ06EL-5321AXDR},01/02/2010 08:05:59,CTR0215,PC-2944,Disconnect
{N0S4-J0QW35XH-0788OJQP},01/02/2010 08:10:02,MQF0815,PC-9876,Connect
{P0G2-H5TH38DA-6668YNNR},01/02/2010 08:11:49,WHC0684,PC-3207,Disconnect
{V7R2-N6NI96FC-8480VXHA},01/02/2010 08:13:34,JZA0447,PC-9753,Connect
{F7V8-J0XT25DD-1632XZHV},01/02/2010 08:14:15,NLR0174,PC-8272,Disconnect
{L6R8-P5XM27HD-8004VGIC},01/02/2010 08:14:19,WHC0684,PC-3207,Connect
{R0Z9-X7QB08YP-9853RDFM},01/02/2010 08:15:37,NUG0614,PC-9225,Connect
{D5E4-K8RL18FV-7786NENJ},01/02/2010 08:17:18,HCH0203,PC-2617,Connect
{M1F0-K6JI32OO-5067DVLN},01/02/2010 08:21:46,CZB0191,PC-7236,Disconnect
{P8U2-Y3MG51DI-5601MEVR},01/02/2010 08:24:04,JKD0625,PC-1794,Connect
{W2Q3-X6BM16DO-9258LDFO},01/02/2010 08:28:58,WHC0684,PC-3207,Disconnect
{C6K8-N8QO28MB-0745XGLT},01/02/2010 08:29:42,BRS0802,PC-7449,Connect
{H7R5-V9JA87HH-9918HNNQ},01/02/2010 08:30:31,JZA0447,PC-9753,Disconnect
{G0L6-W7HI58JL-2829PSXR},01/02/2010 08:33:02,CZB0191,PC-7236,Connect
{E2E7-E4IH53XO-3917OKSA},01/02/2010 08:36:57,TDF0088,PC-1151,Connect
{J9T0-B8CU44RO-3279GWFV},01/02/2010 08:37:03,YXG0504,PC-4312,Disconnect
{H9I8-C5LR59HL-4736XWOZ},01/02/2010 08:39:21,BGR0068,PC-8640,Connect
{G7N2-O7JJ53IK-5712NTUS},01/02/2010 08:47:26,YXG0504,PC-4312,Connect
{Y7Y4-M9EE61OM-9417GHZQ},01/02/2010 08:49:55,YXG0504,PC-4312,Disconnect
{Y4Z3-N0WN41RY-4466KQQW},01/02/2010 08:52:05,ATV0292,PC-4773,Connect
{Y3A2-A8UJ95AQ-9539OSOV},01/02/2010 08:52:49,SDH0288,PC-5156,Connect
{M7V9-X5MR33VF-1188BIRH},01/02/2010 08:53:40,HCH0203,PC-2617,Disconnect
{L3K0-Q1QL45EM-6089MXEG},01/02/2010 08:53:42,JKD0625,PC-1794,Disconnect
