id,date,user,pc,activity
{S7X6-Z2CH44WU-9256VRTB},01/02/2010 06:34:00,EBH0519,PC-9573,Logon
{M5W6-F9WM86XO-3622DJWW},01/02/2010 06:46:00,LAD0514,PC-2567,Logon
{R4Y8-R9YR54PS-5374OMSK},01/02/2010 06:51:00,YXG0504,PC-4312,Logon
{Y1V9-F6VO51FN-3329IZSD},01/02/2010 07:06:00,JBV0604,PC-3756,Logon
{L3N1-D2YO72AX-3581SMQX},01/02/2010 07:06:00,NLR0174,PC-8272,Logon
{U4B2-T2TI47SD-7439VOWT},01/02/2010 07:12:00,RLP0021,PC-9377,Logon
{D1C5-J7CF50GQ-9123JQLE},01/02/2010 07:13:00,PHH0717,PC-8067,Logon
{K8P4-X6DC68CE-3088XWXP},01/02/2010 07:15:00,HMW0274,PC-1078,Logon
{L2G4-W1AQ85PR-5268CQBC},01/02/2010 07:15:00,KGM0616,PC-3071,Logon
{R9I3-E7ZU30YQ-3361VTRS},01/02/2010 07:15:00,XUG0327,PC-8371,Logon
{P3O3-H1FY51GW-1044DTGR},01/02/2010 07:16:00,RIB0011,PC-8308,Logon
{H1Q0-E7GS23WX-7788LOXV},01/02/2010 07:17:00,NUG0614,PC-9225,Logon
{Q4O1-S1BV34YF-9699IEDU},01/02/2010 07:18:00,JKD0625,PC-1794,Logon
{F1Y6-R4QR34BE-6068JPRB},01/02/2010 07:21:00,RMY0747,PC-4924,Logon
{A0U4-Q7YE17ND-9426BEJK},01/02/2010 07:22:00,DIM0254,PC-6122,Logon
{W8R4-V9RB29ZE-1490BPVO},01/02/2010 07:30:00,CSG0227,PC-6015,Logon
{K7W6-E2QM17UX-5936HHBZ},01/02/2010 07:30:00,DSL0441,PC-7252,Logon
{K5S0-A2AS75JR-8225SALF},01/02/2010 07:31:00,PCM0369,PC-2094,Logon
{I0Y2-F9GO40XT-2237DYPZ},01/02/2010 07:33:00,CAB0422,PC-1818,Logon
{A9O1-Q3WO69UO-8039XRYC},01/02/2010 07:35:00,HCH0203,PC-2617,Logon
{Q2K8-F7UD29EA-5495KATR},01/02/2010 07:36:00,GNG0386,PC-7336,Logon
{K0I7-I1RG54UF-2432MCOU},01/02/2010 07:36:00,SPD0384,PC-4902,Logon
{W2Y8-T8RB19PX-2031RXDW},01/02/2010 07:36:00,VLB0057,PC-7284,Logon
{Z2L7-A5RU56CV-4726GHYQ},01/02/2010 07:38:00,JZA0447,PC-9753,Logon
{K1E1-Y2ZQ67AQ-3043MVBN},01/02/2010 07:39:00,ACC0950,PC-8672,Logon
{J6I7-E7XX76EP-4620RZZA},01/02/2010 07:43:00,CSF0671,PC-1450,Logon
{C7N8-Y7LF60GU-7053CHRN},01/02/2010 07:43:00,ERL0366,PC-0472,Logon
{B3T6-O0PC75LI-9717BFSC},01/02/2010 07:45:00,CMD0693,PC-3107,Logon
{S6O7-B5ZA15XO-3774QXYW},01/02/2010 07:45:00,SUV0051,PC-4725,Logon
{I5C5-J4LS46QE-3458NCZO},01/02/2010 07:46:00,CZB0191,PC-7236,Logon
{B3X6-L2YW70EL-6160FUSR},01/02/2010 07:46:00,VXA0673,PC-1509,Logon
{W7V5-S2BU48DS-4559NCFJ},01/02/2010 07:47:00,CTR0215,PC-2944,Logon
{M5I9-D2GA06VY-5860RYFE},01/02/2010 07:48:00,WHC0684,PC-3207,Logon
{Q7R0-L7ZK60QB-6864MRUB},01/02/2010 07:48:02,SUV0051,PC-7165,Logon
{N6L8-A5LW87MA-4197SGKL},01/02/2010 07:49:00,RKO0962,PC-4728,Logon
{L0U1-E2EV31AP-9566YBNA},01/02/2010 07:51:00,RBS0466,PC-6902,Logon
{C6L4-N0SM21SU-7327SWVM},01/02/2010 07:52:00,VAD0688,PC-0674,Logon
{W2C6-M1IT57IG-4862PRGF},01/02/2010 07:53:00,BLB0583,PC-3371,Logon
