user,timestamp,number_of_emails_dispatched,number_of_files_interacted,total_logon_attempts,usb_connection_incidents,nighttime_email_events,number_of_night_logons,trait_openness_score,trait_conscientiousness_score,trait_extraversion_score,trait_agreeableness_score,trait_neuroticism_score,weekday_index,is_weekend_day,email_volume_change_1d,logon_variation_1d,logon_rolling_average_7d,logon_to_email_event_ratio,usb_to_logon_ratio,file_to_email_ratio,email_volume_volatility_3d,logon_volatility_3d,predicted_threat_label
user_10000,2021-04-01 00:05:07,33,12,6,1,1,3,10,18,16,8,7,3,0,1.0003405018277682,-0.5336477062488965,5.136866197086024,0.18181818181818182,0.16666666666666666,0.36363636363636365,0.4242371283464432,0.5292626994355532,0
user_10001,2021-04-01 00:13:55,18,5,8,1,1,2,12,15,11,12,8,3,0,9.162941965939067,-0.7209733051085534,7.5826051299391795,0.4444444444444444,0.125,0.2777777777777778,0.41238076534879414,0.7241110510258763,0
user_10002,2021-04-01 00:16:57,35,8,7,0,2,1,9,16,5,19,11,3,0,4.19827938682324,2.92590745670659,11.20574676185085,0.2,0.0,0.22857142857142856,0.4185667197003158,0.8105184534448107,1
user_10003,2021-04-01 00:45:48,24,12,7,0,1,1,8,16,19,16,14,3,0,3.1186663948033946,0.3521265441349102,8.648902112587876,0.2916666666666667,0.0,0.5,0.8794907671130396,0.9519060094257175,0
user_10004,2021-04-01 00:45:52,30,17,5,0,2,0,18,8,13,5,7,3,0,4.371176702333326,0.8533290750856506,6.336282175274383,0.16666666666666666,0.0,0.5666666666666667,0.6114327805685693,0.19925670396828532,1
user_10005,2021-04-01 01:45:57,30,14,5,0,2,0,18,11,17,13,19,3,0,6.760990588618802,4.503982340002134,7.869967154481801,0.16666666666666666,0.0,0.4666666666666667,0.8487989135224259,0.640451192584417,1
user_10006,2021-04-01 02:31:29,32,11,7,0,0,0,12,11,5,15,19,3,0,8.866715128649549,4.929112067879748,4.411882992521547,0.21875,0.0,0.34375,1.042229405556943,0.5535662582058454,0
user_10007,2021-04-01 04:11:24,30,17,11,0,2,2,14,12,11,18,15,3,0,5.988369482371894,2.9378165247321206,5.598334464730418,0.36666666666666664,0.0,0.5666666666666667,0.22784676740805687,0.7364946909142995,0
user_10008,2021-04-01 05:33:12,28,10,3,2,3,1,18,10,19,11,19,3,0,-3.05890930729465,5.977867156248834,6.721403742764397,0.10714285714285714,0.6666666666666666,0.35714285714285715,0.4846295971894094,0.4127557817673484,0
user_10009,2021-04-01 05:48:40,37,7,4,2,2,2,18,9,14,9,5,3,0,-1.585168244816181,2.5032379342606546,7.545743510333058,0.10810810810810811,0.5,0.1891891891891892,1.014661134388606,0.8244001557892158,0
user_10010,2021-04-01 06:02:48,19,9,5,1,1,1,16,18,10,9,16,3,0,10.94767520133566,-5.034227921748343,8.958514974080508,0.2631578947368421,0.2,0.47368421052631576,0.8342311430470273,0.5585770693588475,0
