user,timestamp,number_of_emails_dispatched,number_of_files_interacted,total_logon_attempts,usb_connection_incidents,nighttime_email_events,number_of_night_logons,trait_openness_score,trait_conscientiousness_score,trait_extraversion_score,trait_agreeableness_score,trait_neuroticism_score,weekday_index,is_weekend_day,email_volume_change_1d,logon_variation_1d,logon_rolling_average_7d,logon_to_email_event_ratio,usb_to_logon_ratio,file_to_email_ratio,email_volume_volatility_3d,logon_volatility_3d,predicted_threat_label
user_5000,2021-03-01 00:27:00,15,11,7,1,0,0,16,13,20,13,10,0,0,3.4196746433660334,2.16997379015518,8.688612328715156,0.4666666666666667,0.14285714285714285,0.7333333333333333,0.8836853804794115,0.38516556831592086,0
user_5001,2021-03-01 00:42:00,23,11,6,1,3,0,18,14,8,20,16,0,0,1.5747584063767408,5.730484911801911,7.828678649591965,0.2608695652173913,0.16666666666666666,0.4782608695652174,0.3611880116759093,0.7842273804645342,0
user_5002,2021-03-01 00:57:00,22,6,8,1,3,1,13,20,12,5,19,0,0,6.992209092349444,3.210118946243058,8.827409286516218,0.36363636363636365,0.125,0.2727272727272727,0.4321219565427574,0.8208567818562691,0
user_5003,2021-03-01 01:12:00,21,8,8,1,2,1,9,5,8,5,5,0,0,9.376982413598006,2.690534982524471,2.786315076822429,0.38095238095238093,0.125,0.38095238095238093,0.7524361389192459,0.6475499589366283,0
user_5004,2021-03-01 01:27:00,16,10,2,0,1,0,8,9,8,5,12,0,0,3.414071037755458,3.8285459447146604,2.3417178725351264,0.125,0.0,0.625,0.22633462201147475,0.5019153796472208,0
user_5005,2021-03-01 01:42:00,25,9,4,0,2,1,9,15,15,17,17,0,0,3.7533481398888124,1.557376983906043,6.130893152914557,0.16,0.0,0.36,0.44320282428428626,0.8373550479104093,0
user_5006,2021-03-01 01:57:00,20,10,4,0,2,0,11,19,11,19,7,0,0,1.1491964491353008,5.027953192542198,7.743156784227934,0.2,0.0,0.5,0.4602969665514086,0.3117393431367128,0
user_5007,2021-03-01 02:12:00,19,11,3,0,2,0,9,11,8,19,14,0,0,3.770228079946903,7.06233481614591,1.6141745406109864,0.15789473684210525,0.0,0.5789473684210527,0.3166211564505685,0.13034629489249608,0
user_5008,2021-03-01 02:27:00,25,11,14,2,1,0,19,12,16,5,10,0,0,9.091220564267942,2.5427908516531623,5.850815562020724,0.56,0.14285714285714285,0.44,0.28594190885845383,0.31744805532364967,0
user_5009,2021-03-01 02:42:00,22,9,10,0,0,1,8,9,18,19,15,0,0,2.617497116185616,2.4153109800371064,7.930255905749377,0.45454545454545453,0.0,0.4090909090909091,0.8180252462862561,0.39586542942866176,0
user_5010,2021-03-01 02:57:00,21,6,2,1,4,1,16,20,7,6,15,0,0,2.917865769771713,5.736192277059869,10.048975875919458,0.09523809523809523,0.5,0.2857142857142857,0.8275145687738571,0.3667680873334027,0
user_5011,2021-03-01 03:12:00,22,8,7,0,3,0,13,18,5,7,11,0,0,6.601541057666459,4.458182702234781,11.3563656670021,0.3181818181818182,0.0,0.36363636363636365,0.1638528818882286,0.7598036669587542,1
user_5012,2021-03-01 03:27:00,12,10,10,1,2,1,17,20,9,7,16,0,0,3.8467692690612645,6.150488647843058,7.696998722771988,0.8333333333333334,0.1,0.8333333333333334,0.7188382558148741,0.2651683373419882,1
user_5013,2021-03-01 03:42:00,14,6,7,1,4,1,17,16,13,13,14,0,0,4.209449821319299,6.996268856470938,7.185682579201002,0.5,0.14285714285714285,0.42857142857142855,0.5499569393144175,0.6582835727368144,0
user_5014,2021-03-01 03:57:00,23,11,6,2,3,0,19,11,11,8,15,0,0,1.6798023164173488,1.5076085948258444,8.855678636893467,0.2608695652173913,0.3333333333333333,0.4782608695652174,0.24312688903644908,0.48349687616026404,0
user_5015,2021-03-01 04:12:00,24,4,5,1,1,1,18,17,18,20,7,0,0,7.450980577357061,0.10364730897841816,4.97352305823468,0.20833333333333334,0.2,0.16666666666666666,0.6461625301696532,0.2249569906666054,0
user_5016,2021-03-01 04:27:00,22,9,7,2,1,0,10,17,19,16,9,0,0,5.736948658979272,7.7500894879943925,10.393729922248005,0.3181818181818182,0.2857142857142857,0.4090909090909091,0.8724634905014776,0.12744988034077365,0
user_5017,2021-03-01 04:42:00,18,7,5,1,1,1,5,11,12,20,13,0,0,3.775975238111176,6.038824836168384,2.5466180812651547,0.2777777777777778,0.2,0.3888888888888889,0.5765645944663149,0.8841974265973089,0
user_5018,2021-03-01 04:57:00,24,11,4,2,1,0,8,17,13,10,5,0,0,0.994938679721366,5.627869338458187,2.9809934592214438,0.16666666666666666,0.5,0.4583333333333333,0.5833786871487653,0.8688119245513616,0
user_5019,2021-03-01 05:12:00,29,6,5,1,2,1,20,9,17,5,15,0,0,0.8512333367873216,7.727711245106333,4.619047344564619,0.1724137931034483,0.2,0.20689655172413793,0.8814948666175916,0.8851087218876109,0
