user,timestamp,number_of_emails_dispatched,number_of_files_interacted,total_logon_attempts,usb_connection_incidents,nighttime_email_events,number_of_night_logons,trait_openness_score,trait_conscientiousness_score,trait_extraversion_score,trait_agreeableness_score,trait_neuroticism_score,weekday_index,is_weekend_day,email_volume_change_1d,logon_variation_1d,logon_rolling_average_7d,logon_to_email_event_ratio,usb_to_logon_ratio,file_to_email_ratio,email_volume_volatility_3d,logon_volatility_3d,predicted_threat_label
user_0000,2021-04-30 23:43:00,17,17,10,0,1,1,13,19,16,10,6,4,0,1.9209926355896634,9.576838614451145,9.492561678730057,0.5555555555555556,0.0,0.9444444444444444,0.053329144775048354,1.0892587662412214,0
user_0001,2021-04-16 21:24:00,30,13,6,0,6,0,14,6,15,14,16,4,0,2.0717388765508113,0.9632688313589999,8.184179765527196,0.1935483870967742,0.0,0.41935483870967744,0.5703486440958472,1.4673401183544246,0
user_0002,2021-04-14 21:39:00,20,19,10,1,1,3,7,15,17,13,19,2,0,5.417952089271434,2.6415315781098982,6.191751838968786,0.47619047619047616,0.09090909090909091,0.9047619047619048,0.22920442781757244,1.7205221024451836,0
user_0003,2021-04-25 16:51:00,24,22,14,2,6,1,12,12,10,15,18,6,1,0.3290043714356028,3.045373953623831,5.0788827001984185,0.56,0.13333333333333333,0.88,0.31548181583846424,1.08027645054637,0
user_0004,2021-04-13 16:23:00,23,10,14,0,2,3,12,8,11,12,11,1,0,8.590314221629926,4.871792714614602,2.6997852972783636,0.5833333333333334,0.0,0.4166666666666667,0.015073638711037507,0.4747386846835633,0
user_0005,2021-01-25 03:37:00,27,9,7,1,2,2,11,6,13,8,16,0,0,8.668800482657819,4.895200928086264,9.237533507934392,0.25,0.125,0.32142857142857145,0.31848136073410505,0.799388749985948,0
user_0006,2021-03-22 21:01:00,24,15,10,0,3,1,9,9,12,19,18,0,0,1.2451306329019485,5.029497921098361,8.284009717938382,0.4,0.0,0.6,1.5695888673153546,0.6872541198426667,1
user_0007,2021-04-13 11:12:00,21,19,6,1,2,1,5,15,6,17,8,1,0,3.9675348595275164,5.277165750159477,9.933634694011587,0.2727272727272727,0.14285714285714285,0.8636363636363636,0.04928263470531724,0.9389632171406737,0
user_0008,2021-01-16 09:32:00,20,13,10,1,4,3,9,18,19,6,15,5,1,7.405927129430507,9.355242800669034,1.2515972747355986,0.47619047619047616,0.09090909090909091,0.6190476190476191,0.14205112646443974,0.1460605007310829,0
user_0009,2021-04-12 21:51:00,17,13,8,1,1,1,11,16,16,14,14,0,0,7.897090087666299,5.318535142421496,9.772075243207775,0.4444444444444444,0.1111111111111111,0.7222222222222222,1.8871455880934926,1.7872679094123771,0
user_0010,2021-04-24 15:46:00,28,17,6,0,3,0,11,10,14,9,9,5,1,2.9642540219757296,9.959129885407735,8.793791274890015,0.20689655172413793,0.0,0.5862068965517241,0.5583714899130126,1.6690277466762433,0
user_0011,2021-04-05 15:07:00,17,14,6,0,0,0,16,6,13,19,9,0,0,4.202237392381316,4.176232331902993,1.3457309306583372,0.3333333333333333,0.0,0.7777777777777778,0.17879533848017792,1.851797416649606,0
user_0012,2021-04-16 19:22:00,22,14,11,1,3,1,7,12,15,19,19,4,0,0.8463257435716354,2.879019737735662,1.6501955223908484,0.4782608695652174,0.08333333333333333,0.6086956521739131,0.009968473935007438,1.7234982118432378,1
