user,timestamp,number_of_emails_dispatched,number_of_files_interacted,total_logon_attempts,usb_connection_incidents,nighttime_email_events,number_of_night_logons,trait_openness_score,trait_conscientiousness_score,trait_extraversion_score,trait_agreeableness_score,trait_neuroticism_score,weekday_index,is_weekend_day,email_volume_change_1d,logon_variation_1d,logon_rolling_average_7d,logon_to_email_event_ratio,usb_to_logon_ratio,file_to_email_ratio,email_volume_volatility_3d,logon_volatility_3d,predicted_threat_label
user_59000,2021-11-06 09:41:00,16,7,7,2,0,2,6,20,18,11,18,5,1,0.2985369816422465,2.476615222410095,5.345712111822194,0.4375,0.2857142857142857,0.4375,0.5102784115443368,0.9656729585019901,0
user_59001,2021-11-12 22:13:00,26,12,6,1,3,3,17,13,5,11,2,4,0,0.31917266390162247,1.5028492608368027,6.412909641697058,0.23076923076923078,0.16666666666666666,0.46153846153846156,0.8933283988639795,0.5101470413342327,0
user_59002,2021-10-03 11:47:00,17,11,11,2,1,2,16,17,20,20,14,6,1,3.6577309118045815,1.5055564511023234,5.070016047422929,0.6470588235294118,0.18181818181818182,0.6470588235294118,0.014258214647436707,0.5828273907980469,0
user_59003,2021-12-22 16:47:00,21,12,6,1,1,1,13,3,7,4,11,2,0,0.0713194692459074,1.1353626822395047,5.277131944316501,0.2857142857142857,0.16666666666666666,0.5714285714285714,0.979085511809419,0.0697208659251285,0
user_59004,2021-09-08 04:20:00,23,6,5,0,4,1,4,2,7,12,6,2,0,2.780370906429239,8.307632523415064,6.4881028429854055,0.21739130434782608,0.0,0.2608695652173913,0.932838820093332,0.04701079140335729,0
user_59005,2021-11-14 15:09:00,26,17,8,1,1,3,19,20,6,13,8,6,1,0.3495516449307384,0.08465237376342277,7.452725648737669,0.3076923076923077,0.125,0.6538461538461539,0.7681076497962461,0.25767661942964615,0
user_59006,2021-10-13 07:54:00,20,12,3,0,0,1,17,14,4,13,10,2,0,1.3202908178977975,0.7351371820999775,6.454354691172609,0.15,0.0,0.6,0.7259273141334798,0.3650511735330788,0
user_59007,2021-10-31 07:24:00,14,13,7,1,1,0,4,18,2,17,10,6,1,13.935448359531463,1.1653174150052616,4.57214791649524,0.5,0.14285714285714285,0.9285714285714286,0.811915064399518,0.8210320794502147,0
user_59008,2021-12-24 19:37:00,17,9,11,0,0,1,5,17,14,3,16,4,0,6.285232246370731,3.2471397301918303,7.53523319313377,0.6470588235294118,0.0,0.5294117647058824,0.5281295780482033,0.5534617229632792,0
user_59009,2021-09-03 11:18:00,14,5,4,3,1,1,10,10,16,13,2,4,0,1.12576218183778,0.42989518174228514,6.312048510586435,0.2857142857142857,0.75,0.35714285714285715,0.6383307925592295,0.6930892502206677,0
user_59010,2021-11-16 04:01:00,23,7,6,2,6,1,17,11,4,7,15,1,0,3.5022782933036996,5.3836623228772345,5.7169928919650195,0.2608695652173913,0.3333333333333333,0.30434782608695654,0.8608409660206434,0.6559466126682121,0
user_59011,2021-09-27 16:44:00,17,14,10,0,1,1,1,14,11,10,19,0,0,0.6221828666944574,0.07053793389771769,2.161837722032621,0.5882352941176471,0.0,0.8235294117647058,0.5052917677484146,0.5524653716971478,0
user_59012,2021-10-28 13:09:00,22,5,4,0,5,0,19,16,4,5,6,3,0,1.0527840506167376,3.9582451282641617,3.376596662598829,0.18181818181818182,0.0,0.22727272727272727,0.5579786867749439,0.6435745164009983,0
user_59013,2021-09-24 23:51:00,23,8,11,2,2,3,6,12,16,19,2,4,0,13.231635981083553,3.271508800939661,8.38243344103007,0.4782608695652174,0.18181818181818182,0.34782608695652173,0.9151823847264495,0.40774511805188673,0
user_59014,2021-10-03 06:25:00,18,9,2,2,1,1,15,7,5,4,5,6,1,2.059099469205168,5.584658559693452,7.439057643330685,0.1111111111111111,1.0,0.5,0.29435317562841745,0.9883630031286244,0
user_59015,2021-12-16 00:09:00,17,3,13,0,4,4,6,19,5,19,8,3,0,1.7769189951402,1.2042188217686427,4.849715376825304,0.7647058823529411,0.0,0.17647058823529413,0.01978882777402491,0.05893492026073022,0
user_59016,2021-12-13 19:07:00,24,8,11,1,1,2,1,11,16,9,8,0,0,5.749254947111014,4.267391063837976,6.470134235540974,0.4583333333333333,0.09090909090909091,0.3333333333333333,0.2426651889941812,0.2661363486649996,0
user_59017,2021-11-23 03:52:00,16,11,10,2,1,4,5,16,19,8,15,1,0,6.558790523187469,4.466935151058918,3.3516284137089385,0.625,0.2,0.6875,0.41610967097926366,0.45027142991202884,0
user_59018,2021-10-24 01:10:00,26,9,5,2,2,0,16,12,10,9,2,6,1,3.363534156686452,0.38934010638850636,6.169397072105496,0.19230769230769232,0.4,0.34615384615384615,0.5091668708060977,0.6869313345234827,0
user_59019,2021-12-23 22:55:00,24,18,5,1,3,0,10,1,17,16,16,3,0,2.5387277084114723,6.3551722438125084,4.955118125383638,0.20833333333333334,0.2,0.75,0.7573367793711709,0.23032060473536276,0
user_59020,2021-12-29 05:50:00,26,11,13,2,2,2,11,13,2,4,6,2,0,0.29031270149193533,0.012144306768890608,7.334186274618638,0.5,0.15384615384615385,0.4230769230769231,0.6437562446572763,0.7168219507145939,0
user_59021,2021-12-16 15:16:00,14,10,8,0,0,3,18,14,7,14,7,3,0,8.965208987173652,4.494743805575521,1.216245631335073,0.5714285714285714,0.0,0.7142857142857143,0.17245720832852107,0.6780391605387273,0
user_59022,2021-11-21 02:18:00,13,14,8,2,0,1,18,1,5,8,3,6,1,3.1071462534139096,4.944344690888268,4.964950742584969,0.6153846153846154,0.25,1.0769230769230769,0.8941717566147757,0.3656793032162168,0
user_59023,2021-12-20 17:15:00,24,12,11,2,4,1,16,2,19,2,16,0,0,10.444337535317487,1.9633408557654035,3.6113370773206035,0.4583333333333333,0.18181818181818182,0.5,0.4184214257011486,0.5429520372289308,0
user_59024,2021-10-05 10:33:00,17,14,8,1,1,2,5,11,4,10,13,1,0,1.7013011575473571,3.100055197619902,7.907096999052685,0.47058823529411764,0.125,0.8235294117647058,0.1514599597278259,0.4010754810273821,0
user_59025,2021-10-07 00:27:00,17,15,11,2,2,2,10,8,14,13,1,3,0,0.6494608310044787,2.760034898063096,7.449387653789732,0.6470588235294118,0.18181818181818182,0.8823529411764706,0.9185511498261989,0.6493763114621033,0
