feature,importance
number_of_night_logons,0.13540092
iforest_score,0.094397545
nighttime_email_events,0.08548799
month,0.060123827
usb_to_logon_ratio,0.05803899
usb_connection_incidents,0.046507116
usb_connection_incidents_mean_7d,0.042135905
total_logon_attempts,0.038819227
logon_to_email_event_ratio,0.026591083
number_of_emails_dispatched_mean_7d,0.02360193
total_logon_attempts_mean_7d,0.022524884
logon_rolling_average_7d,0.018752163
after_hours_logon_ratio,0.018289499
trait_neuroticism_score,0.01726972
night_activity_ratio,0.01689335
number_of_emails_dispatched,0.016671818
file_to_email_ratio,0.016483523
number_of_emails_dispatched_mean_14d,0.01599021
email_volume_change_1d,0.014097386
neuroticism_x_night,0.013892223
logon_volatility_3d,0.01258937
is_late_night,0.012017752
trait_extraversion_score,0.011727217
logon_variation_1d,0.011517987
trait_conscientiousness_score,0.011403363
trait_openness_score,0.011382787
email_volume_volatility_3d,0.011370673
number_of_files_interacted_mean_7d,0.011158644
number_of_files_interacted,0.011142989
is_business_hours,0.011115026
usb_connection_incidents_mean_14d,0.0110316565
number_of_files_interacted_mean_14d,0.011028835
weekday_index,0.010846395
files_per_logon,0.010689075
trait_agreeableness_score,0.010090409
hour,0.010043198
total_logon_attempts_mean_30d,0.009864628
total_logon_attempts_mean_14d,0.0095037045
usb_after_hours,0.009364873
number_of_emails_dispatched_mean_30d,0.0077485703
number_of_files_interacted_mean_30d,0.0023934592
total_logon_attempts_std_30d,0.0
logon_delta_7d,0.0
is_weekend_day,0.0
number_of_emails_dispatched_std_7d,0.0
number_of_emails_dispatched_std_14d,0.0
user_rz_usb_connection_incidents,0.0
user_rz_number_of_files_interacted,0.0
user_rz_total_logon_attempts,0.0
user_rz_number_of_emails_dispatched,0.0
logon_delta_30d,0.0
logon_delta_14d,0.0
email_delta_30d,0.0
email_delta_14d,0.0
email_delta_7d,0.0
usb_connection_incidents_std_30d,0.0
usb_connection_incidents_std_14d,0.0
usb_connection_incidents_std_7d,0.0
usb_connection_incidents_mean_30d,0.0
number_of_emails_dispatched_std_30d,0.0
total_logon_attempts_std_7d,0.0
number_of_files_interacted_std_30d,0.0
number_of_files_interacted_std_14d,0.0
total_logon_attempts_std_14d,0.0
number_of_files_interacted_std_7d,0.0
